generations,merchants,distance
80,10,205226.13185433648
90,10,205198.9267029831
100,10,205310.3543301669
110,10,205354.8362286923
120,10,205307.72285673878
130,10,205137.1481774758
140,10,205330.80867288203
150,10,205270.28872602372
160,10,205476.86508278645
170,10,205369.2196239088
180,10,205329.91992795866
190,10,205304.1987963103
200,10,205287.23536727624
210,10,205456.63409668743
220,10,205241.81660067686
230,10,205381.7157673851
240,10,205248.97045629352
250,10,205310.4024272006
260,10,205420.2415580047
270,10,205276.9709676572
280,10,205375.35338067726
290,10,205251.6636927177
300,10,205330.62069559484
310,10,205109.75298273205
320,10,205310.69323584522
330,10,205332.74768916747
340,10,205234.26887228477
350,10,205285.347906335
360,10,205240.02157475892
370,10,205331.80955395548
380,10,205222.00180816773
390,10,205357.34901445953
400,10,205385.36582615238
410,10,205343.11735628825
420,10,205348.02098512693
430,10,205231.37297869482
440,10,205299.25744463468
450,10,205269.0937571181
460,10,205362.52468191492
470,10,205318.75516638075
480,10,205278.00399295648
490,10,205263.3310854725
500,10,205306.383060362
510,10,205261.4955954458
520,10,205249.77315873964
530,10,205494.3277224887
540,10,205327.34440357072
550,10,205189.71103981495
560,10,205177.1458976655
570,10,205181.06334014097
580,10,205205.61624922627
590,10,205297.30468409817
600,10,205275.64717066626
610,10,205361.99579072197
620,10,205308.39867245924
630,10,205295.18197203777
640,10,205143.094276277
650,10,205199.0497631818
660,10,205345.33634158093
670,10,205303.35245314043
680,10,205379.26363780405
690,10,205189.24920677883
700,10,205324.90907808335
710,10,205280.16483553228
720,10,205356.25003559096
730,10,205334.79827787986
740,10,205138.1007612565
750,10,205320.89321462563
760,10,205309.8537220089
770,10,205343.00849701592
780,10,205378.3975380303
790,10,205217.35778327746
800,10,205343.41702541275
810,10,205184.21369599734
820,10,205226.68609379037
830,10,205229.67921152405
840,10,205308.5569250783
850,10,205247.21505895723
860,10,205352.4645629928
870,10,205428.37589401795
880,10,205318.1636865098
890,10,205441.88016690835
900,10,205212.063527215
910,10,205195.62691606043
920,10,205271.7186573004
930,10,205397.9125545925
940,10,205224.1062758373
950,10,205444.02999027577
960,10,205223.4344035353
970,10,205385.91123070888
980,10,205259.4598664625
990,10,205398.36479871802
1000,10,205181.34269712714
10,25,205341.516833654
20,25,205350.25607799634
30,25,205379.51630814545
40,25,205317.8591485616
50,25,205479.5599013945
60,25,205245.3241840147
70,25,205257.4284776008
80,25,205225.09680999577
90,25,205258.54771424082
100,25,205292.09121982715
110,25,205332.1611671066
120,25,205342.929504211
130,25,205394.43587472456
140,25,205396.06423555606
150,25,205398.7817965652
160,25,205343.2764090259
170,25,205378.8316224767
180,25,205333.1613950741
190,25,205447.88907027215
200,25,205324.7856196141
210,25,205360.44059531557
220,25,205316.8491046789
230,25,205343.16371692432
240,25,205366.64104286022
250,25,205335.11049261823
260,25,205304.78655754964
270,25,205504.20369965932
280,25,205333.76807007883
290,25,205248.51352895403
300,25,205325.98146979802
310,25,205402.01293486284
320,25,205449.22962650692
330,25,205270.05936662905
340,25,205321.10766288493
350,25,205225.08920775508
360,25,205372.2667926671
370,25,205311.4752412114
380,25,205442.12097620795
390,25,205308.85304254462
400,25,205434.81098696234
410,25,205480.38316108432
420,25,205273.3839304924
430,25,205314.98156624084
440,25,205380.1344834099
450,25,205350.20431593928
460,25,205447.2636608222
470,25,205357.13230963497
480,25,205268.1738379472
490,25,205350.2323276046
500,25,205288.7764026166
510,25,205445.64176280936
520,25,205349.9751308968
530,25,205357.78403640792
540,25,205342.8868126122
550,25,205367.60039998844
560,25,205235.55421169134
570,25,205197.02541133162
580,25,205401.2920736882
590,25,205321.9049283052
600,25,205429.15165134144
610,25,205388.65285255897
620,25,205346.88953822403
630,25,205323.78436303049
640,25,205457.67684641844
650,25,205319.2411942773
660,25,205281.9432893681
670,25,205398.17066558142
680,25,205378.75894626274
690,25,205356.76552790296
700,25,205336.41477993084
710,25,205318.17988571062
720,25,205278.209084548
730,25,205300.8809019145
740,25,205527.52227171944
750,25,205357.75120800818
760,25,205326.97727211931
770,25,205410.51720741193
780,25,205214.1908746443
790,25,205428.09380274688
800,25,205333.1505399432
810,25,205485.97952355142
820,25,205229.35926795317
830,25,205341.2681196181
840,25,205340.6137396795
850,25,205304.37287361381
860,25,205488.25847743812
870,25,205195.53913145975
880,25,205462.94108560288
890,25,205385.71461883074
900,25,205365.82093075497
910,25,205324.64496115653
920,25,205396.09936868906
930,25,205347.5208633688
940,25,205367.50421509944
950,25,205338.08999395397
960,25,205303.87237758635
970,25,205318.78947320447
980,25,205396.64448659949
990,25,205309.53168395173
1000,25,205311.74722417674
10,50,205332.3105406803
20,50,205408.30580745605
30,50,205441.09533312396
40,50,205398.46514711028
50,50,205328.2563830679
60,50,205464.6004025654
70,50,205341.65231644505
80,50,205401.53701642575
90,50,205408.14083064185
100,50,205355.9401831804
110,50,205408.59905831306
120,50,205365.3289138977
130,50,205349.37104496485
140,50,205417.41074708087
150,50,205419.25009623208
160,50,205279.97480809843
170,50,205418.37449016105
180,50,205431.12014830302
190,50,205414.83003296386
200,50,205332.93884351687
210,50,205427.14268901868
220,50,205426.23731562347
230,50,205328.95774995218
240,50,205456.0659799346
250,50,205385.587313538
260,50,205463.90483831216
270,50,205361.51786175332
280,50,205294.27088883155
290,50,205397.04779419335
300,50,205435.13189857107
310,50,205398.3332037993
320,50,205432.67198848104
330,50,205410.01133839443
340,50,205324.4389010124
350,50,205252.1924931536
360,50,205434.65911672922
370,50,205309.92914812863
380,50,205407.64774506757
390,50,205366.06180937885
400,50,205432.6354701427
410,50,205434.9351544284
420,50,205324.0013500712
430,50,205345.74803557724
440,50,205432.06036909568
450,50,205268.65352189157
460,50,205425.05223486744
470,50,205406.47120063307
480,50,205354.71025735277
490,50,205366.61847132645
500,50,205570.36472864245
510,50,205364.56463351042
520,50,205455.73900005585
530,50,205413.29470505187
540,50,205350.28362490406
550,50,205411.5259409913
560,50,205406.06849619202
570,50,205401.0545047689
580,50,205382.554476118
590,50,205353.17445584678
600,50,205357.57312280932
610,50,205356.84871079153
620,50,205283.7658058158
630,50,205360.0112476305
640,50,205437.99796547517
650,50,205524.27798457636
660,50,205321.43168890593
670,50,205270.10894088686
680,50,205331.265316636
690,50,205352.28229587147
700,50,205447.72992746698
710,50,205353.4885542027
720,50,205416.80564336735
730,50,205309.32951672966
740,50,205419.13492931597
750,50,205435.09529184122
760,50,205348.51381785763
770,50,205352.59145925453
780,50,205359.10894866104
790,50,205306.6373280239
800,50,205378.62820770638
810,50,205399.81746737228
820,50,205320.89558475322
830,50,205323.66369686997
840,50,205431.07973503944
850,50,205455.50231016273
860,50,205375.7973133243
870,50,205418.6480960952
880,50,205465.92771347024
890,50,205398.44218556833
900,50,205365.1212336461
910,50,205370.83952683132
920,50,205444.2501651732
930,50,205448.41957663727
940,50,205386.921108589
950,50,205359.9954280111
960,50,205444.02836839354
970,50,205339.78396961032
980,50,205323.4888104333
990,50,205354.08520000018
1000,50,205480.17859504372
10,75,205398.72502198757
20,75,205381.56297963797
30,75,205421.79038105955
40,75,205442.56807453654
50,75,205372.42826095156
60,75,205321.95948792878
70,75,205430.6226889347
80,75,205345.28419512764
90,75,205332.4577410808
100,75,205397.7536847806
110,75,205432.07239199124
120,75,205339.44301168746
130,75,205293.3546050652
140,75,205453.1803306692
150,75,205302.25376892005
160,75,205398.4001266639
170,75,205442.20779160038
180,75,205403.2618421141
190,75,205434.2487686214
200,75,205426.84548249427
210,75,205364.07311498417
220,75,205451.44057565977
230,75,205439.7595641251
240,75,205456.07077697752
250,75,205337.83383973662
260,75,205335.17534423925
270,75,205419.5589207644
280,75,205327.53393122184
290,75,205338.02345221737
300,75,205387.79224329427
310,75,205407.0114467596
320,75,205483.90387966728
330,75,205368.9223050452
340,75,205361.18138264838
350,75,205395.93179155554
360,75,205401.90364402876
370,75,205393.80097078023
380,75,205315.98055083578
