generations,merchants,distance
950,10,205304.85550733947
960,10,205188.66485428254
970,10,205335.21403635346
980,10,205306.78498692418
990,10,205456.76834356744
1000,10,205285.4547123954
10,50,205312.59022855136
20,50,205369.36795851952
30,50,205370.30473433918
40,50,205366.39704660056
50,50,205305.17909061193
60,50,205370.1621335366
70,50,205374.36418171684
80,50,205359.3913461091
90,50,205307.48729140448
100,50,205337.81682859888
110,50,205342.1497782138
120,50,205393.82919902581
130,50,205417.8631912788
140,50,205324.36233418592
150,50,205402.37829542335
160,50,205354.3469901693
170,50,205411.4829368665
180,50,205441.13074578642
190,50,205364.36943228246
200,50,205308.70019181466
210,50,205375.60027738224
220,50,205450.4939782225
230,50,205408.64087010446
240,50,205316.83514366506
250,50,205316.01205003288
260,50,205371.64864796854
270,50,205333.18223286312
280,50,205369.82408413276
290,50,205389.53474138447
300,50,205369.4704805089
310,50,205333.58840451363
320,50,205344.03395745458
330,50,205295.01259724307
340,50,205339.79562631206
350,50,205377.0242332177
360,50,205382.71958664083
370,50,205396.85963928886
380,50,205345.0521279933
390,50,205433.52279740587
400,50,205372.59587205877
410,50,205411.60260333453
420,50,205479.27850662774
430,50,205359.95533465373
440,50,205401.39321629543
450,50,205401.39196929216
460,50,205353.0312924448
470,50,205379.33842849638
480,50,205459.1633431926
490,50,205311.48730576367
500,50,205337.05714869665
510,50,205298.71604310165
520,50,205412.87935920196
530,50,205286.0593893491
540,50,205498.62761773317
550,50,205364.3916414795
560,50,205548.32735686054
570,50,205442.31066263054
580,50,205325.29750273848
590,50,205309.46657279768
600,50,205342.4825812217
610,50,205464.33522922336
620,50,205332.2968915161
630,50,205398.7274827963
640,50,205400.62281692858
650,50,205386.4958015105
660,50,205430.57189859278
670,50,205354.4762783803
680,50,205311.12102171805
690,50,205476.64735554787
700,50,205449.1524438437
710,50,205332.82137721457
720,50,205427.87554549892
730,50,205412.97085881067
740,50,205368.76719505977
750,50,205431.41985670308
760,50,205551.84499175302
770,50,205415.9587490687
780,50,205424.0423651192
790,50,205346.6936922595
800,50,205439.4645134051
810,50,205287.52294414924
820,50,205300.7105500034
830,50,205362.00620642875
840,50,205511.67740236357
850,50,205355.90455480237
860,50,205420.97555453167
870,50,205401.846689163
880,50,205507.14027291976
890,50,205391.56972557967
900,50,205315.2380104397
910,50,205383.94832631902
920,50,205382.81004951283
930,50,205451.11609981162
940,50,205464.35029782096
950,50,205345.8005913284
960,50,205398.72835202704
